Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
12/8/2015,"2,746","17,397",7.41,0,575,230,30,67,"1,524"
12/9/2015,"2,129","7,325",3.11,4,705,242,10,4,858
12/10/2015,"2,106","7,507",3.2,0,732,207,8,0,766
12/11/2015,"2,565","13,149",5.62,7,663,282,1,32,"1,353"
12/12/2015,"2,153","7,937",4.31,9,726,157,2,21,781
12/13/2015,"2,200","9,026",3.84,0,608,209,12,17,890
12/14/2015,"2,496","13,785",5.93,0,658,233,20,46,"1,248"
12/15/2015,"2,382","13,767",5.9,0,705,154,66,32,"1,091"
12/16/2015,"2,724","14,353",6.16,0,624,224,33,70,"1,508"
12/17/2015,"2,256","7,242",3.08,5,701,219,10,34,997
12/18/2015,"2,611","13,624",5.8,0,727,220,15,58,"1,342"
12/19/2015,"2,085","7,068",3.01,0,712,199,9,2,733
12/20/2015,"2,127","7,455",3.17,1,569,228,5,8,827
12/21/2015,"2,640","12,113",5.24,0,699,225,26,70,"1,404"
12/22/2015,"2,661","15,298",6.51,0,667,283,33,38,"1,463"
12/23/2015,"2,064","7,345",3.13,0,725,143,19,19,694
12/24/2015,"2,196","8,516",4.54,9,673,171,2,24,845
12/25/2015,"2,324","10,353",5.53,22,679,219,0,24,"1,017"
12/26/2015,"2,316","10,114",4.31,0,580,255,21,18,"1,058"
12/27/2015,"2,273","8,593",3.66,1,703,300,9,3,"1,032"
12/28/2015,"2,431","10,820",4.67,0,712,167,49,34,"1,121"
12/29/2015,"2,732","18,577",8.41,0,677,167,60,88,"1,489"
12/30/2015,"2,196","9,308",3.96,0,661,140,28,38,846
12/31/2015,"2,131","8,297",3.53,0,692,165,23,8,775
1/1/2016,"2,095","7,446",3.17,0,699,185,23,1,756
1/2/2016,"2,126","7,708",3.28,0,612,205,22,1,811
1/3/2016,"2,232","9,016",3.84,0,567,236,30,8,963
1/4/2016,"2,497","10,038",4.34,0,689,206,6,45,"1,185"
1/5/2016,"2,683","16,009",6.9,0,668,204,20,73,"1,430"
1/6/2016,"2,766","18,619",8.46,0,647,196,27,77,"1,520"
1/7/2016,"2,328","11,748",5,12,759,215,15,19,"1,035"
1/8/2016,"2,723","13,729",5.89,0,725,180,51,64,"1,457"
1/9/2016,"2,152","8,367",3.56,2,618,192,9,15,827
1/10/2016,"2,166","8,279",3.52,0,589,214,13,15,865
1/11/2016,"2,730","15,525",6.67,0,629,216,15,93,"1,514"
1/12/2016,"2,676","15,456",6.64,0,654,223,14,60,"1,426"
1/13/2016,"2,493","13,925",5.93,0,652,214,33,50,"1,243"
1/14/2016,"2,633","15,325",6.7,16,653,218,23,56,"1,410"
1/15/2016,"2,302","7,921",3.42,0,786,188,7,39,963
1/16/2016,"2,157","8,355",3.56,0,603,212,15,5,845
1/17/2016,"2,179","8,427",3.59,0,562,226,13,11,890
1/18/2016,"2,786","15,379",6.6,0,621,200,39,87,"1,571"
1/19/2016,"2,510","12,271",5.29,0,669,202,26,41,"1,227"
1/20/2016,"2,292","11,718",4.99,0,663,218,55,8,"1,024"
1/21/2016,"2,420","10,048",4.28,0,690,216,24,35,"1,141"
1/22/2016,"2,673","15,119",6.54,0,721,202,11,78,"1,415"
1/23/2016,"2,313","9,923",4.22,0,582,292,9,11,"1,084"
1/24/2016,"2,155","8,179",3.48,0,667,223,13,3,846
1/25/2016,"2,577","14,770",6.35,0,650,188,21,62,"1,305"
1/26/2016,"2,570","15,202",6.89,0,666,174,35,63,"1,282"
1/27/2016,"2,381","12,112",5.16,0,709,210,22,28,"1,084"
1/28/2016,"2,128","7,777",3.31,4,713,220,8,4,826
1/29/2016,"2,577","13,010",5.54,0,692,200,37,38,"1,301"
1/30/2016,"2,257","9,393",4,0,603,229,25,17,980
1/31/2016,"2,184","8,377",3.57,0,539,223,12,10,880
2/1/2016,"2,673","14,515",6.26,0,652,177,34,92,"1,429"
2/2/2016,"2,558","10,663",4.59,0,646,241,15,43,"1,304"
2/3/2016,"2,613","15,414",6.98,21,675,222,15,56,"1,372"
2/4/2016,"2,277","11,647",4.96,0,703,205,36,8,970
2/5/2016,"2,710","15,202",6.47,0,640,171,82,62,"1,468"
2/6/2016,"2,105","8,004",3.41,0,629,164,23,12,763
2/7/2016,"2,253","10,076",4.29,0,581,223,23,7,966
2/8/2016,"2,348","12,041",5.13,0,573,219,43,19,"1,097"
2/9/2016,"2,588","13,003",5.64,0,669,204,22,50,"1,308"
2/10/2016,"2,667","16,110",7.27,0,650,261,15,48,"1,434"
2/11/2016,"2,499","11,764",5.01,0,678,206,16,64,"1,241"
2/12/2016,"2,564","11,680",5,13,710,279,1,30,"1,339"
2/13/2016,"2,428","11,423",4.86,0,500,333,19,9,"1,250"
2/14/2016,"2,563","14,667",6.26,0,452,327,46,3,"1,408"
2/15/2016,"2,583","11,591",4.98,0,674,212,24,39,"1,297"
2/16/2016,"2,935","21,551",9.66,0,598,221,34,100,"1,750"
