Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
10/9/2016,"2,076","7,426",3.31,0,642,240,0,0,843
10/10/2016,"2,138","9,213",3.92,0,614,194,25,19,897
10/11/2016,"2,179","9,741",4.15,0,698,202,8,27,945
10/12/2016,"2,118","8,608",3.66,0,691,201,8,21,872
10/13/2016,"2,283","10,794",4.59,0,640,262,2,30,"1,106"
10/14/2016,"2,319","12,652",5.39,0,611,183,22,45,"1,094"
10/15/2016,"2,181","9,782",4.21,0,586,204,1,30,939
10/16/2016,"2,214","9,988",4.24,0,614,226,11,29,"1,012"
10/17/2016,"2,221","10,366",4.56,0,657,211,16,31,"1,009"
10/18/2016,"2,186","10,108",4.3,0,616,193,7,32,943
10/19/2016,"2,493","14,798",7.15,3,671,210,3,72,"1,311"
10/20/2016,"2,162","9,694",4.13,0,690,196,2,29,910
10/21/2016,"2,244","10,536",4.65,0,646,227,2,29,"1,019"
10/22/2016,"2,051","7,411",3.16,0,677,231,0,0,804
10/23/2016,"2,359","12,797",5.69,0,597,246,6,26,"1,165"
10/24/2016,"2,623","16,565",7.98,12,625,256,4,73,"1,493"
10/25/2016,"2,342","12,899",5.54,0,630,228,6,34,"1,136"
10/26/2016,"2,347","13,185",5.7,0,684,230,16,28,"1,152"
10/27/2016,"2,570","16,553",7.95,2,666,209,10,72,"1,398"
10/28/2016,"2,059","8,061",3.43,0,690,157,9,30,781
10/29/2016,"2,003","7,073",3.01,0,711,202,0,0,732
10/30/2016,"2,058","7,916",3.36,0,710,168,4,28,783
10/31/2016,"2,745","19,701",9.33,2,604,191,62,94,"1,634"
